"TRANSECT","01/01/1855 12:00:01 AM","01/01/1867 12:00:01 AM","08/01/1924 12:00:01 AM","10/01/1924 12:00:01 AM","11/24/1933 12:00:01 AM","05/12/1951 12:00:01 AM","04/18/1974 12:00:01 AM","12/29/2002 12:00:01 AM","11/25/2003 12:00:01 AM","03/01/2006 12:00:01 AM"
"1",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"2",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"3",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"4",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"5",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"6",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"7",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"8",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"9",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"10",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"11",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"12",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"13",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"14",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"15",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"16",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"17",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"18",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"19",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"20",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"21",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"22",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"23",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"24",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"25",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"26",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"27",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"28",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"29",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"30",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"31",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"32",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"33",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"34",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"35",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"36",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"37",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"38",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"39",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"40",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"41",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"42",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"43",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"44",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"45",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"46",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"47",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"48",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"49",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"50",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"51",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"52",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"53",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"54",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"55",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"56",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"57",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"58",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"59",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"60",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"61",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"62",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"63",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"64",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"65",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"66",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"67",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"68",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Apparent.Marsh Or Swamp",NA,NA
"69",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Apparent.Marsh Or Swamp",NA,NA
"70",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Apparent.Marsh Or Swamp",NA,NA
"71",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Apparent.Marsh Or Swamp",NA,NA
"72",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"73",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"74",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"75",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"76",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"77",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"78",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"79",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Apparent.Marsh Or Swamp",NA,NA
"80",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Apparent.Marsh Or Swamp",NA,NA
"81",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Apparent.Marsh Or Swamp",NA,NA
"82",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Apparent.Marsh Or Swamp",NA,NA
"83",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"84",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"85",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Apparent.Marsh Or Swamp",NA,NA
"86",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"87",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Apparent.Marsh Or Swamp",NA,NA
"88",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"89",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"90",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"91",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"92",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"93",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"94",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"95",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"96",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"97",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"98",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"99",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"100",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"101",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"102",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"103",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"104",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"105",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"106",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"107",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"108",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"109",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"110",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"111",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"112",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"113",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"114",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"115",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"116",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"117",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"118",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"119",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
"120",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water",NA,NA
