"TRANSECT","01/01/1855 12:00:01 AM","01/01/1867 12:00:01 AM","08/01/1924 12:00:01 AM","10/01/1924 12:00:01 AM","11/24/1933 12:00:01 AM","05/12/1951 12:00:01 AM","04/18/1974 12:00:01 AM","12/29/2002 12:00:01 AM","11/25/2003 12:00:01 AM","03/01/2006 12:00:01 AM"
"220","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Apparent.Marsh Or Swamp",NA,NA
"221","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Apparent.Marsh Or Swamp",NA,NA
"222","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Apparent.Marsh Or Swamp",NA,NA
"223","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh","Natural.Apparent.Marsh Or Swamp",NA,NA
"224","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"225","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"226","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"227","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"228",NA,NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"229","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"230","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"231","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"232","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"233","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"234","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"235","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"236","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"237","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"238","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"239","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"240","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"241","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Undetermined.Approximate",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"242","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"243","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"244","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"245","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"246","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"247","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"248","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"249","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"250","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"251","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"252","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"253","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"254","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"255","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"256","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"257","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"258","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"259","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"260","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"261","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"262","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"263","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"264","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Mean High Water",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"265","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"266","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"267","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"268","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"269","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"270","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"271","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"272","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"273","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"274","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"275","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"276","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"277","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"278","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA
"279","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"280","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"281","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"282","Natural.Mean High Water Or Apparent.Marsh","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"283","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"284","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"285","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"286","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"287","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"288","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"289","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"290","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"291","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"292","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"293","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"294","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA
"295","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"296","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"297","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"298","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"299","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"300","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"301","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"302","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"303","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"304","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"305","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"306",NA,NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"307",NA,NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"308","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"309","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,NA,NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"310","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"311","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"312","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"313","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"314","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
"315","Natural.Mean High Water Or Apparent.Marsh",NA,NA,NA,"Natural.Apparent.Marsh Or Swamp",NA,"Natural.Mean High Water Or Apparent.Marsh",NA,"Natural.Apparent.Marsh Or Swamp",NA
