"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"TRANSECT",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"1867-01-01",-299.561848052792,-329.724836772562,-358.770311351835,-376.287233044072,-396.303187192857,-415.186426579714,-438.802598361524,-460.482212847782,-479.616555760070,-503.774214856731,-519.469075904882,-538.243785471080,-549.456173628571,-562.227018546837,-571.93609746176,-583.544411811675,-613.368160472624,-646.554957144593,-659.19080148656,-614.648309071552
"1924-10-01",-194.267405708039,-227.474241882525,-250.499428883537,-267.097062389412,-282.996972019487,-295.689205479536,-312.821855769459,-326.857369371108,-343.040229152402,-364.430335661303,-372.927970080493,-374.784741531945,-365.910978474264,-356.336260297335,-374.233711168453,-411.215897672968,-448.66915800977,-487.412299375404,-503.208094308454,-460.707503501464
"1933-11-24",-142.046568479538,-168.398117932343,-196.818468303106,-223.22731126685,-246.175255628161,-263.360645725434,-284.081388206171,-302.129343467778,-319.962390975940,-346.408819345017,-350.582215826028,-358.558683346611,-353.283674197388,-362.408434707366,-385.493063894667,-401.243188363952,-428.856596028283,-452.914859128001,-458.153041042668,-403.793703482776
"1951-05-12",-95.0070200365205,-107.006442150676,-127.144840147319,-141.372304750183,-154.013434074902,-166.538607831264,-186.134547325820,-206.495108698545,-228.394968707844,-256.723413934621,-277.843832444952,-302.860712410116,-327.065517404584,-348.946583478446,-384.606171463739,-432.821577839531,-473.575708459725,-501.936595468744,-496.346686680609,-420.570767441099
"1974-04-18",-44.9031004018832,-48.8434945455787,-52.4171706457027,-50.117155117114,-46.1479612370517,-39.4321055997868,-33.0792479927683,-38.9411969846307,-57.7085736466411,-90.0090243334344,-111.479754645074,-155.05693109984,-183.703852231932,-218.472205376616,-271.798699714515,-345.201074543368,-412.516044639611,-497.648401196312,-498.080509098297,-436.468809241907
"2003-11-25",-6.5603472616361,-5.6432167198741,-10.9538447871027,-11.6531458724615,-10.7081004540058,-9.6404499892141,-7.5593237242443,-8.8734926291938,-7.6610202317838,-16.2761757108901,-19.3471885425656,-20.0688144633646,-21.7632931006822,-42.7928232862079,-60.233923762631,-67.9659019996226,-77.9112759499764,-76.9033547810122,-49.4192372543746,-31.8104448315961
"2006-03-01",-5.7213426563267,-5.1973001446955,-5.257355580125,-5.2566010308804,-5.0793674257545,-5.1004738362196,-5.2083947444438,-4.8742300202757,-5.1223713636535,-5.1772636856671,-5.1275514393045,-4.6894334598709,-5.1281737557137,-5.2192047719683,-4.9694642696667,-5.1675888553506,-5.4472943847967,-5.024032649791,-5.0208867098944,-8.9891266948196
"1867-01-01 to 1867-01-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1867-01-01 to 1924-10-01",105.294442344753,102.250594890037,108.270882468299,109.190170654660,113.30621517337,119.497221100178,125.980742592065,133.624843476674,136.576326607669,139.343879195428,146.541105824390,163.459043939134,183.545195154307,205.890758249502,197.702386293307,172.328514138707,164.699002462855,159.142657769189,155.982707178106,153.940805570088
"1867-01-01 to 1933-11-24",157.515279573254,161.326718840219,161.951843048729,153.059921777222,150.127931564696,151.825780854280,154.721210155353,158.352869380004,159.65416478413,157.365395511714,168.886860078854,179.685102124469,196.172499431183,199.818583839471,186.443033567093,182.301223447724,184.511564444342,193.640098016593,201.037760443892,210.854605588776
"1867-01-01 to 1951-05-12",204.554828016272,222.718394621886,231.625471204516,234.914928293888,242.289753117955,248.64781874845,252.668051035704,253.987104149236,251.221587052227,247.050800922110,241.62524345993,235.383073060963,222.390656223987,213.280435068391,187.329925998021,150.722833972145,139.792452012899,144.618361675849,162.844114805951,194.077541630453
"1867-01-01 to 1974-04-18",254.658747650909,280.881342226983,306.353140706133,326.170077926958,350.155225955805,375.754320979927,405.723350368756,421.541015863151,421.907982113429,413.765190523297,407.989321259808,383.18685437124,365.752321396639,343.754813170220,300.137397747245,238.343337268307,200.852115833013,148.906555948281,161.110292388263,178.179499829644
"1867-01-01 to 2003-11-25",293.001500791156,324.081620052688,347.816466564733,364.63408717161,385.595086738851,405.5459765905,431.24327463728,451.608720218588,471.955535528287,487.498039145841,500.121887362317,518.174971007715,527.692880527889,519.434195260629,511.702173699129,515.578509812053,535.456884522648,569.651602363581,609.771564232185,582.837864239956
"1867-01-01 to 2006-03-01",293.840505396465,324.527536627867,353.512955771710,371.030632013191,391.223819767102,410.085952743494,433.59420361708,455.607982827506,474.494184396417,498.596951171064,514.341524465578,533.554352011209,544.327999872857,557.007813774868,566.966633192093,578.376822956325,607.920866087828,641.530924494802,654.169914776666,605.659182376732
"1924-10-01 to 1924-10-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1924-10-01 to 1933-11-24",52.2208372285006,59.0761239501821,53.6809605804307,43.8697511225619,36.8217163913255,32.3285597541021,28.7404675632889,24.7280259033297,23.0778381764614,18.0215163162859,22.3457542544645,16.2260581853349,12.6273042768761,-6.07217441003064,-11.2593527262140,9.97270930901618,19.8125619814870,34.4974402474034,45.055053265786,56.9138000186875
"1924-10-01 to 1951-05-12",99.2603856715182,120.467799731849,123.354588736217,125.724757639229,128.983537944585,129.150597648272,126.687308443640,120.362260672562,114.645260444558,107.706921726682,95.0841376355403,71.9240291218293,38.8454610696805,7.38967681888909,-10.3724602952855,-21.6056801665629,-24.9065504499557,-14.5242960933404,6.8614076278447,40.1367360603652
"1924-10-01 to 1974-04-18",149.364305306156,178.630747336946,198.082258237834,216.979907272298,236.849010782435,256.257099879750,279.742607776691,287.916172386477,285.331655505761,274.421311327868,261.448215435419,219.727810432106,182.207126242332,137.864054920719,102.435011453938,66.0148231296,36.1531133701584,-10.2361018209086,5.12758521015689,24.2386942595564
"1924-10-01 to 2003-11-25",187.707058446403,221.831025162651,239.545584096434,255.443916516950,272.288871565481,286.048755490322,305.262532045215,317.983876741914,335.379208920618,348.154159950413,353.580781537927,354.715927068581,344.147685373582,313.543437011127,313.999787405822,343.249995673345,370.757882059793,410.508944594392,453.788857054080,428.897058669868
"1924-10-01 to 2006-03-01",188.546063051712,222.276941737830,245.242073303412,261.840461358531,277.917604593732,290.588731643317,307.613461025016,321.983139350832,337.917857788748,359.253071975636,367.800418641188,370.095308072075,360.782804718551,351.117055525367,369.264246898786,406.048308817617,443.221863624973,482.388266725613,498.18720759856,451.718376806644
"1933-11-24 to 1933-11-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1933-11-24 to 1951-05-12",47.0395484430176,61.391675781667,69.6736281557868,81.8550065166667,92.1618215532592,96.822037894170,97.946840880351,95.6342347692324,91.5674222680966,89.6854054103961,72.7383833810758,55.6979709364944,26.2181567928044,13.4618512289197,0.88689243092847,-31.5783894755791,-44.7191124314427,-49.0217363407438,-38.1936456379413,-16.7770639583223
"1933-11-24 to 1974-04-18",97.143468077655,119.554623386764,144.401297657403,173.110156149736,200.027294391109,223.928540125647,251.002140213402,263.188146483147,262.253817329299,256.399795011582,239.102461180954,203.501752246771,169.579821965456,143.936229330750,113.694364180152,56.0421138205838,16.3405513886714,-44.733542068312,-39.9274680556291,-32.6751057591311
"1933-11-24 to 2003-11-25",135.486221217902,162.754901212469,185.864623516003,211.574165394388,235.467155174155,253.72019573622,276.522064481926,293.255850838584,312.301370744157,330.132643634127,331.235027283463,338.489868883246,331.520381096706,319.615611421158,325.259140132036,333.277286364329,350.945320078306,376.011504346988,408.733803788294,371.98325865118
"1933-11-24 to 2006-03-01",136.325225823211,163.200817787648,191.561112722981,217.970710235970,241.095888202407,258.260171889215,278.872993461727,297.255113447502,314.840019612287,341.23155565935,345.454664386724,353.86924988674,348.155500441675,357.189229935398,380.523599625,396.075599508601,423.409301643486,447.890826478209,453.132154332774,394.804576787957
"1951-05-12 to 1951-05-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1951-05-12 to 1974-04-18",50.1039196346373,58.1629476050973,74.7276695016167,91.2551496330692,107.865472837850,127.106502231477,153.055299333051,167.553911713915,170.686395061203,166.714389601186,166.364077799878,147.803781310276,143.361665172651,130.47437810183,112.807471749224,87.6205032961629,61.0596638201141,4.28819427243184,-1.73382241768780,-15.8980418008088
"1951-05-12 to 2003-11-25",88.4466727748844,101.363225430802,116.190995360217,129.719158877722,143.305333620896,156.89815784205,178.575223601575,197.621616069352,220.73394847606,240.447238223731,258.496643902387,282.791897946752,305.302224303902,306.153760192238,324.372247701108,364.855675839908,395.664432509749,425.033240687732,446.927449426235,388.760322609503
"1951-05-12 to 2006-03-01",89.2856773801938,101.809142005980,121.887484567194,136.115703719303,148.934066649147,161.438133995044,180.926152581376,201.62087867827,223.272597344190,251.546150248954,272.716281005648,298.171278950245,321.93734364887,343.727378706478,379.636707194072,427.65398898418,468.128414074929,496.912562818953,491.325799970715,411.581640746279
"1974-04-18 to 1974-04-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1974-04-18 to 2003-11-25",38.3427531402471,43.2002778257046,41.4633258586,38.4640092446525,35.4398607830459,29.7916556105727,25.519924268524,30.0677043554369,50.0475534148573,73.7328486225443,92.1325661025083,134.988116636475,161.940559131250,175.679382090408,211.564775951884,277.235172543745,334.604768689635,420.7450464153,448.661271843923,404.658364410311
"1974-04-18 to 2006-03-01",39.1817577455565,43.6461944008832,47.1598150655777,44.8605540862336,41.0685938112972,34.3316317635672,27.8708532483245,34.066966964355,52.5862022829876,84.8317606477673,106.352203205769,150.367497639969,178.575678476219,213.253000604648,266.829235444848,340.033485688017,407.068750254815,492.624368546521,493.059622388403,427.479682547088
"2003-11-25 to 2003-11-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003-11-25 to 2006-03-01",0.8390046053094,0.445916575178599,5.6964892069777,6.3965448415811,5.6287330282513,4.5399761529945,2.3509289798005,3.9992626089181,2.5386488681303,11.098912025223,14.2196371032611,15.3793810034937,16.6351193449685,37.5736185142396,55.2644594929643,62.798313144272,72.4639815651797,71.8793221312212,44.3983505444802,22.8213181367765
"2006-03-01 to 2006-03-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1867-01-01 to 1867-01-01 EPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1867-01-01 to 1924-10-01 EPR",1.82213500169898,1.76946079721523,1.87364271292096,1.88955112312492,1.96077984725394,2.06791606777759,2.18011431092848,2.31239654224284,2.36347236922999,2.41136525252851,2.53591426255937,2.82868153981528,3.17627518638924,3.56296827048493,3.4212673524112,2.98216895792851,2.85013919490527,2.75398587548616,2.69930249004403,2.66396709809796
"1867-01-01 to 1933-11-24 EPR",2.35309118995775,2.41002956561536,2.41936817880678,2.28653343628232,2.24273298494306,2.26809683672951,2.31135111147645,2.36560378683343,2.38504359457322,2.35085210010133,2.52296909625432,2.68428200693452,2.93058413999025,2.98505231045745,2.78523747603605,2.72336375223751,2.75638362142122,2.8927530706854,3.00326536086525,3.14991736749081
"1867-01-01 to 1951-05-12 EPR",2.42324209619743,2.6384153074223,2.74393226411503,2.78290054939045,2.87026581052395,2.94558611675,2.99321147083938,3.00883752602873,2.97607605316487,2.92666717524813,2.8623937510264,2.78844638821368,2.63453278120656,2.52660928888912,2.21918869849332,1.78552576676618,1.65603988785525,1.71320963330255,1.92911953212074,2.29912377706389
"1867-01-01 to 1974-04-18 EPR",2.37191086282999,2.61615009474454,2.85339635494892,3.03797280910839,3.26137229442352,3.4998042042889,3.77893801379493,3.92626494819971,3.92968289964789,3.85384032206296,3.8000434382931,3.56903138321687,3.406644822644,3.20175836498751,2.7955024542652,2.21994789483853,1.87075181889991,1.3869269399082,1.50059346539032,1.65957735627795
"1867-01-01 to 2003-11-25 EPR",2.13886817841187,2.36574851141439,2.53900942573403,2.66177560084074,2.81478783743686,2.96042642058224,3.14801294459325,3.29667772404121,3.44520650522639,3.55866451247439,3.65081676140968,3.78260163632359,3.85208098623386,3.7917937895268,3.73535116098042,3.76364784867101,3.90875708187369,4.15837352978355,4.45124339402707,4.25463131632535
"1867-01-01 to 2006-03-01 EPR",2.11009255665597,2.33045862259328,2.53860527379937,2.66440113096747,2.80941005380877,2.94486056408624,3.11367522468392,3.2717579627772,3.40738131157418,3.58046523918782,3.69352829995152,3.83149717643998,3.90886361756498,3.99991839198526,4.07143348381038,4.15337098408473,4.36552915955885,4.60688572126786,4.69764733795316,4.34928782496867
"1924-10-01 to 1924-10-01 EPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1924-10-01 to 1933-11-24 EPR",5.70506003843242,6.45399139234255,5.86457665724550,4.79271450456004,4.02272567579581,3.53185402880792,3.13985952128118,2.70150537405428,2.52122446405520,1.96882773284776,2.44124522684213,1.77267621599737,1.37951692938036,-0.663377330039265,-1.23006996260644,1.08950580598351,2.16449719342794,3.76880146372411,4.92220725591496,6.21776025346332
"1924-10-01 to 1951-05-12 EPR",3.72775396338143,4.52420484639623,4.63261908516508,4.72163149895241,4.84401598413143,4.85028996209686,4.75778038706950,4.52024129493623,4.30553761315605,4.04496619304856,3.57091369862869,2.7011287817129,1.45885310118669,0.277521559717514,-0.389540900069885,-0.811407887724606,-0.935373074825994,-0.545464355805047,0.257682249630962,1.50734732606578
"1924-10-01 to 1974-04-18 EPR",3.01270841272915,3.60301850010972,3.99535943063713,4.37652885468549,4.77729271306304,5.16875781698213,5.642465287273,5.80732774762732,5.75519751655629,5.53513365576215,5.2734636734045,4.43195462023202,3.67515478992325,2.78074602376561,2.06613501219538,1.33153240728913,0.729215648768115,-0.206464255339944,0.103424436433868,0.488899392392689
"1924-10-01 to 2003-11-25 EPR",2.36995663402182,2.80079989568534,3.02446083210068,3.22519040882379,3.43787187801033,3.61160177640069,3.85419157343746,4.01480905637686,4.23443949137035,4.39573379853681,4.46424937774891,4.47858152755308,4.34514874818768,3.95874483756136,3.96450663817929,4.33381467434954,4.68112445784443,5.18301445144948,5.72945908972081,5.4151795777959
"1924-10-01 to 2006-03-01 EPR",2.31434332169340,2.72837919472383,3.01026892506542,3.21400889144014,3.41135074242374,3.5668848214222,3.77585799280773,3.95224125178416,4.14783488340372,4.40971789316340,4.51463387153732,4.54280291385214,4.428494879011,4.30985086315439,4.53260190066105,4.98411463271557,5.44040826685214,5.92116348381923,6.11509048875014,5.54470028028064
"1933-11-24 to 1933-11-24 EPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1933-11-24 to 1951-05-12 EPR",2.69197792124513,3.51332105053441,3.98728038207309,4.68439595148689,5.27423406505795,5.54092879137223,5.60529898421576,5.47295322840543,5.24021779991459,5.13251379347673,4.16267010569029,3.18748187391353,1.50041192056657,0.770394433765397,0.0507550544510648,-1.80716716189814,-2.55918407611737,-2.80541451307173,-2.18574485071317,-0.960117332202517
"1933-11-24 to 1974-04-18 EPR",2.40307460849502,2.95746780997418,3.57210936258572,4.28229122295179,4.94815062370416,5.53940475404007,6.20913461049758,6.51058444366986,6.48747159099927,6.34265843302118,5.91476776218558,5.03409959810717,4.19496001473341,3.56060479198398,2.81250036772319,1.38633490643938,0.404222382708577,-1.10659050185929,-0.987700836347314,-0.808296414915815
"1933-11-24 to 2003-11-25 EPR",1.93415483199837,2.32343315638889,2.65333962700803,3.02036023032509,3.36144835883005,3.62202250640333,3.94753416520272,4.18641996073542,4.45830727165274,4.71286040857542,4.72859765951439,4.83216529029978,4.73267127269625,4.56272286329485,4.6432879438436,4.75775224980366,5.00997504022926,5.36781129093596,5.83494361634571,5.31030543678351
"1933-11-24 to 2006-03-01 EPR",1.88515656091957,2.25680236758823,2.64897920605752,3.01418106596434,3.33396473551348,3.57131891417175,3.85636077338626,4.11055565100732,4.35372635569179,4.71867845484609,4.77707719269385,4.89343724980716,4.81442537076004,4.93934718417958,5.26202363565543,5.47708254671867,5.85506327334239,6.19360301816808,6.26608207355417,5.45950636588764
"1951-05-12 to 1951-05-12 EPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951-05-12 to 1974-04-18 EPR",2.18311217221471,2.53425759530387,3.25601042952013,3.97614057730336,4.69988033733023,5.53824439709791,6.66887719428957,7.3006061568078,7.43709373252227,7.26402676428709,7.24876308904806,6.44005970851747,6.24650922621676,5.68498842153133,4.91521155407267,3.817772914301,2.66047239994528,0.186843847372284,-0.075545563143852,-0.692704459507604
"1951-05-12 to 2003-11-25 EPR",1.68228429196627,1.92796129662547,2.20999027131209,2.46730031216094,2.72571374526457,2.98425365358772,3.39655844786738,3.75882698620705,4.19843101582918,4.57338415589691,4.9166896833961,5.37879326475062,5.80694694481105,5.82314343252563,6.16966495106328,6.93967283384922,7.52566533955489,8.08426955971976,8.5007044836152,7.39434693863827
"1951-05-12 to 2006-03-01 EPR",1.62807974440579,1.85643886857086,2.22255741954468,2.48200189126970,2.71573833875900,2.94374376321083,3.29909805126653,3.67645604823742,4.07126432685365,4.58681844636399,4.97284520992464,5.43700438711293,5.87036670988847,6.2676971188422,6.92248579336745,7.79805695055332,8.5360878821676,9.06095246185332,8.95908063092926,7.50498570576969
"1974-04-18 to 1974-04-18 EPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1974-04-18 to 2003-11-25 EPR",1.29428511016278,1.45825408363841,1.39962211582253,1.29837819053900,1.19629604973752,1.00563713103293,0.861442001110817,1.01495533984412,1.68938842101386,2.48890129910558,3.10999598884819,4.55661357369033,5.466411179405,5.93017427753621,7.14150959238301,9.35825746587136,11.2948063046071,14.2025286175515,15.1448593566107,13.6595119772277
"1974-04-18 to 2006-03-01 EPR",1.22863759253678,1.36863066635072,1.47880863392920,1.40670981455973,1.28780384373913,1.07655030873729,0.873957168010176,1.06825111185477,1.64896596505932,2.66010246017483,3.33492733420153,4.71513201362446,5.59966689379895,6.68705714954437,8.36706794994583,10.6625620512136,12.7646128731106,15.4474136185121,15.4610620422480,13.4046464028941
"2003-11-25 to 2003-11-25 EPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003-11-25 to 2006-03-01 EPR",0.37029828408456,0.196807194607242,2.51416996438556,2.82314252379335,2.48426548405287,2.00373796353445,1.03759259688898,1.76509171977643,1.12044357541422,4.89855246578766,6.27589787507896,6.78775582379105,7.34198133121343,16.5832778206741,24.3912064267618,27.716305075767,31.9822893244143,31.7242473735136,19.5954025982289,10.0722867230029
"2006-03-01 to 2006-03-01 EPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
