"1867-01-01 to 1867-01-01","1867-01-01 to 1924-10-01","1867-01-01 to 1933-11-24","1867-01-01 to 1951-05-12","1867-01-01 to 1974-04-18","1867-01-01 to 2003-11-25","1867-01-01 to 2006-03-01","1924-10-01 to 1924-10-01","1924-10-01 to 1933-11-24","1924-10-01 to 1951-05-12","1924-10-01 to 1974-04-18","1924-10-01 to 2003-11-25","1924-10-01 to 2006-03-01","1933-11-24 to 1933-11-24","1933-11-24 to 1951-05-12","1933-11-24 to 1974-04-18","1933-11-24 to 2003-11-25","1933-11-24 to 2006-03-01","1951-05-12 to 1951-05-12","1951-05-12 to 1974-04-18","1951-05-12 to 2003-11-25","1951-05-12 to 2006-03-01","1974-04-18 to 1974-04-18","1974-04-18 to 2003-11-25","1974-04-18 to 2006-03-01","2003-11-25 to 2003-11-25","2003-11-25 to 2006-03-01","2006-03-01 to 2006-03-01"
0,105.294442344753,157.515279573254,204.554828016272,254.658747650909,293.001500791156,293.840505396465,0,52.2208372285006,99.2603856715182,149.364305306156,187.707058446403,188.546063051712,0,47.0395484430176,97.143468077655,135.486221217902,136.325225823211,0,50.1039196346373,88.4466727748844,89.2856773801938,0,38.3427531402471,39.1817577455565,0,0.8390046053094,0
0,102.250594890037,161.326718840219,222.718394621886,280.881342226983,324.081620052688,324.527536627867,0,59.0761239501821,120.467799731849,178.630747336946,221.831025162651,222.276941737830,0,61.391675781667,119.554623386764,162.754901212469,163.200817787648,0,58.1629476050973,101.363225430802,101.809142005980,0,43.2002778257046,43.6461944008832,0,0.445916575178599,0
0,108.270882468299,161.951843048729,231.625471204516,306.353140706133,347.816466564733,353.512955771710,0,53.6809605804307,123.354588736217,198.082258237834,239.545584096434,245.242073303412,0,69.6736281557868,144.401297657403,185.864623516003,191.561112722981,0,74.7276695016167,116.190995360217,121.887484567194,0,41.4633258586,47.1598150655777,0,5.6964892069777,0
0,109.190170654660,153.059921777222,234.914928293888,326.170077926958,364.63408717161,371.030632013191,0,43.8697511225619,125.724757639229,216.979907272298,255.443916516950,261.840461358531,0,81.8550065166667,173.110156149736,211.574165394388,217.970710235970,0,91.2551496330692,129.719158877722,136.115703719303,0,38.4640092446525,44.8605540862336,0,6.3965448415811,0
0,113.30621517337,150.127931564696,242.289753117955,350.155225955805,385.595086738851,391.223819767102,0,36.8217163913255,128.983537944585,236.849010782435,272.288871565481,277.917604593732,0,92.1618215532592,200.027294391109,235.467155174155,241.095888202407,0,107.865472837850,143.305333620896,148.934066649147,0,35.4398607830459,41.0685938112972,0,5.6287330282513,0
0,119.497221100178,151.825780854280,248.64781874845,375.754320979927,405.5459765905,410.085952743494,0,32.3285597541021,129.150597648272,256.257099879750,286.048755490322,290.588731643317,0,96.822037894170,223.928540125647,253.72019573622,258.260171889215,0,127.106502231477,156.89815784205,161.438133995044,0,29.7916556105727,34.3316317635672,0,4.5399761529945,0
0,125.980742592065,154.721210155353,252.668051035704,405.723350368756,431.24327463728,433.59420361708,0,28.7404675632889,126.687308443640,279.742607776691,305.262532045215,307.613461025016,0,97.946840880351,251.002140213402,276.522064481926,278.872993461727,0,153.055299333051,178.575223601575,180.926152581376,0,25.519924268524,27.8708532483245,0,2.3509289798005,0
0,133.624843476674,158.352869380004,253.987104149236,421.541015863151,451.608720218588,455.607982827506,0,24.7280259033297,120.362260672562,287.916172386477,317.983876741914,321.983139350832,0,95.6342347692324,263.188146483147,293.255850838584,297.255113447502,0,167.553911713915,197.621616069352,201.62087867827,0,30.0677043554369,34.066966964355,0,3.9992626089181,0
0,136.576326607669,159.65416478413,251.221587052227,421.907982113429,471.955535528287,474.494184396417,0,23.0778381764614,114.645260444558,285.331655505761,335.379208920618,337.917857788748,0,91.5674222680966,262.253817329299,312.301370744157,314.840019612287,0,170.686395061203,220.73394847606,223.272597344190,0,50.0475534148573,52.5862022829876,0,2.5386488681303,0
0,139.343879195428,157.365395511714,247.050800922110,413.765190523297,487.498039145841,498.596951171064,0,18.0215163162859,107.706921726682,274.421311327868,348.154159950413,359.253071975636,0,89.6854054103961,256.399795011582,330.132643634127,341.23155565935,0,166.714389601186,240.447238223731,251.546150248954,0,73.7328486225443,84.8317606477673,0,11.098912025223,0
0,146.541105824390,168.886860078854,241.62524345993,407.989321259808,500.121887362317,514.341524465578,0,22.3457542544645,95.0841376355403,261.448215435419,353.580781537927,367.800418641188,0,72.7383833810758,239.102461180954,331.235027283463,345.454664386724,0,166.364077799878,258.496643902387,272.716281005648,0,92.1325661025083,106.352203205769,0,14.2196371032611,0
0,163.459043939134,179.685102124469,235.383073060963,383.18685437124,518.174971007715,533.554352011209,0,16.2260581853349,71.9240291218293,219.727810432106,354.715927068581,370.095308072075,0,55.6979709364944,203.501752246771,338.489868883246,353.86924988674,0,147.803781310276,282.791897946752,298.171278950245,0,134.988116636475,150.367497639969,0,15.3793810034937,0
0,183.545195154307,196.172499431183,222.390656223987,365.752321396639,527.692880527889,544.327999872857,0,12.6273042768761,38.8454610696805,182.207126242332,344.147685373582,360.782804718551,0,26.2181567928044,169.579821965456,331.520381096706,348.155500441675,0,143.361665172651,305.302224303902,321.93734364887,0,161.940559131250,178.575678476219,0,16.6351193449685,0
0,205.890758249502,199.818583839471,213.280435068391,343.754813170220,519.434195260629,557.007813774868,0,-6.07217441003064,7.38967681888909,137.864054920719,313.543437011127,351.117055525367,0,13.4618512289197,143.936229330750,319.615611421158,357.189229935398,0,130.47437810183,306.153760192238,343.727378706478,0,175.679382090408,213.253000604648,0,37.5736185142396,0
0,197.702386293307,186.443033567093,187.329925998021,300.137397747245,511.702173699129,566.966633192093,0,-11.2593527262140,-10.3724602952855,102.435011453938,313.999787405822,369.264246898786,0,0.88689243092847,113.694364180152,325.259140132036,380.523599625,0,112.807471749224,324.372247701108,379.636707194072,0,211.564775951884,266.829235444848,0,55.2644594929643,0
0,172.328514138707,182.301223447724,150.722833972145,238.343337268307,515.578509812053,578.376822956325,0,9.97270930901618,-21.6056801665629,66.0148231296,343.249995673345,406.048308817617,0,-31.5783894755791,56.0421138205838,333.277286364329,396.075599508601,0,87.6205032961629,364.855675839908,427.65398898418,0,277.235172543745,340.033485688017,0,62.798313144272,0
0,164.699002462855,184.511564444342,139.792452012899,200.852115833013,535.456884522648,607.920866087828,0,19.8125619814870,-24.9065504499557,36.1531133701584,370.757882059793,443.221863624973,0,-44.7191124314427,16.3405513886714,350.945320078306,423.409301643486,0,61.0596638201141,395.664432509749,468.128414074929,0,334.604768689635,407.068750254815,0,72.4639815651797,0
0,159.142657769189,193.640098016593,144.618361675849,148.906555948281,569.651602363581,641.530924494802,0,34.4974402474034,-14.5242960933404,-10.2361018209086,410.508944594392,482.388266725613,0,-49.0217363407438,-44.733542068312,376.011504346988,447.890826478209,0,4.28819427243184,425.033240687732,496.912562818953,0,420.7450464153,492.624368546521,0,71.8793221312212,0
0,155.982707178106,201.037760443892,162.844114805951,161.110292388263,609.771564232185,654.169914776666,0,45.055053265786,6.8614076278447,5.12758521015689,453.788857054080,498.18720759856,0,-38.1936456379413,-39.9274680556291,408.733803788294,453.132154332774,0,-1.73382241768780,446.927449426235,491.325799970715,0,448.661271843923,493.059622388403,0,44.3983505444802,0
0,153.940805570088,210.854605588776,194.077541630453,178.179499829644,582.837864239956,605.659182376732,0,56.9138000186875,40.1367360603652,24.2386942595564,428.897058669868,451.718376806644,0,-16.7770639583223,-32.6751057591311,371.98325865118,394.804576787957,0,-15.8980418008088,388.760322609503,411.581640746279,0,404.658364410311,427.479682547088,0,22.8213181367765,0
