Transect,Baseline.Offshore,Transect.Spacing,Transect.Distance,Transect.Flag,Transect.StartX,Transect.StartY,Transect.EndX,Transect.EndY,Transect.Inner.Xcoord,Transect.Inner.Ycoord,Transect.Outer.Xcoord,Transect.Outer.Ycoord,Min.Date.Xcoord,Min.Date.Ycoord,Max.Date.Xcoord,Max.Date.Ycoord,Number.Dates,Min.Date,Max.Date,Elapsed.Years,Transect.Means,Range.Distance,Stdev.Change,Min.Date.Position,Max.Date.Position,Min.Date.Dist,Max.Date.Dist,Min.Date.Acc,Max.Date.Acc,Net.Change,EPR,EPR.Error,Mean.EPR.Eras,StDev.EPR.Eras,Mean.EPR.Eras.L,Mean.EPR.Eras.U,LRR.slope,LRR.Rsquared,LRR.intercept,LRR.SECoef,LRR.SEResi,LRR.Pval,LRR.CI.L,LRR.CI.U,WLR.slope,WLR.Rsquared,WLR.intercept,WLR.SECoef,WLR.SEResi,WLR.Pval,WLR.CI.L,WLR.CI.U,RLR.slope,LMS.slope,JK.avg,JK.min,JK.max,Min.Date.Class1,Max.Date.Class1,Att.Change,Baseline.Location,Shoreline.Location,Transect.Azimuth,Time.Stamp,1867-01-01,1924-10-01,1933-11-24,1951-05-12,1974-04-18,2003-11-25,2006-03-01,1867-01-01 to 1867-01-01,1867-01-01 to 1924-10-01,1867-01-01 to 1933-11-24,1867-01-01 to 1951-05-12,1867-01-01 to 1974-04-18,1867-01-01 to 2003-11-25,1867-01-01 to 2006-03-01,1924-10-01 to 1924-10-01,1924-10-01 to 1933-11-24,1924-10-01 to 1951-05-12,1924-10-01 to 1974-04-18,1924-10-01 to 2003-11-25,1924-10-01 to 2006-03-01,1933-11-24 to 1933-11-24,1933-11-24 to 1951-05-12,1933-11-24 to 1974-04-18,1933-11-24 to 2003-11-25,1933-11-24 to 2006-03-01,1951-05-12 to 1951-05-12,1951-05-12 to 1974-04-18,1951-05-12 to 2003-11-25,1951-05-12 to 2006-03-01,1974-04-18 to 1974-04-18,1974-04-18 to 2003-11-25,1974-04-18 to 2006-03-01,2003-11-25 to 2003-11-25,2003-11-25 to 2006-03-01,2006-03-01 to 2006-03-01,1867-01-01 to 1867-01-01 EPR,1867-01-01 to 1924-10-01 EPR,1867-01-01 to 1933-11-24 EPR,1867-01-01 to 1951-05-12 EPR,1867-01-01 to 1974-04-18 EPR,1867-01-01 to 2003-11-25 EPR,1867-01-01 to 2006-03-01 EPR,1924-10-01 to 1924-10-01 EPR,1924-10-01 to 1933-11-24 EPR,1924-10-01 to 1951-05-12 EPR,1924-10-01 to 1974-04-18 EPR,1924-10-01 to 2003-11-25 EPR,1924-10-01 to 2006-03-01 EPR,1933-11-24 to 1933-11-24 EPR,1933-11-24 to 1951-05-12 EPR,1933-11-24 to 1974-04-18 EPR,1933-11-24 to 2003-11-25 EPR,1933-11-24 to 2006-03-01 EPR,1951-05-12 to 1951-05-12 EPR,1951-05-12 to 1974-04-18 EPR,1951-05-12 to 2003-11-25 EPR,1951-05-12 to 2006-03-01 EPR,1974-04-18 to 1974-04-18 EPR,1974-04-18 to 2003-11-25 EPR,1974-04-18 to 2006-03-01 EPR,2003-11-25 to 2003-11-25 EPR,2003-11-25 to 2006-03-01 EPR,2006-03-01 to 2006-03-01 EPR
1,1,100,304.899341104387,,460021.74333,3431984.76872,459781.123814448,3432172.0275167,459785.336040646,3432168.74941015,460017.228178562,3431988.28257391,459785.336040646,3432168.74941015,460017.228178562,3431988.28257391,7,1867-01-01,2006-03-01,139.254794520548,218.144217295468,293.840505396465,108.051865773071,1,7,-299.561848052792,-5.7213426563267,7.21,5,293.840505396465,2.11009255665597,0.0630072263166471,2.34447808797309,1.82830192403484,0.516176163938252,4.17278001200794,2.1790675733301,0.9786609226947,2.46106817392891,0.143898872282204,17.2906257928783,2.27591839584972e-05,1.80916374607292,2.54897140058728,2.05800300595422,0.978289761969836,18.503919843464,0.137106972403118,2.65187994644858,2.37649906610044e-05,1.70555831315568,2.41044769875277,0,0,0,0,0,NA,NA,NA,undefined,NA,307.891342467311,2010-02-01 09:16:16,-299.561848052792,-194.267405708039,-142.046568479538,-95.0070200365205,-44.9031004018832,-6.5603472616361,-5.7213426563267,0,105.294442344753,157.515279573254,204.554828016272,254.658747650909,293.001500791156,293.840505396465,0,52.2208372285006,99.2603856715182,149.364305306156,187.707058446403,188.546063051712,0,47.0395484430176,97.143468077655,135.486221217902,136.325225823211,0,50.1039196346373,88.4466727748844,89.2856773801938,0,38.3427531402471,39.1817577455565,0,0.8390046053094,0,NA,1.82213500169898,2.35309118995775,2.42324209619743,2.37191086282999,2.13886817841187,2.11009255665597,NA,5.70506003843242,3.72775396338143,3.01270841272915,2.36995663402182,2.31434332169340,NA,2.69197792124513,2.40307460849502,1.93415483199837,1.88515656091957,NA,2.18311217221471,1.68228429196627,1.62807974440579,NA,1.29428511016278,1.22863759253678,NA,0.37029828408456,NA
2,1,100,334.724837715039,,459982.365089232,3431892.92614939,459729.969421269,3432112.78324793,459733.739618265,3432109.49910055,459978.446120892,3431896.33988868,459733.739618265,3432109.49910055,459978.446120892,3431896.33988868,7,1867-01-01,2006-03-01,139.254794520548,235.964367876613,324.527536627867,121.775915135961,1,7,-329.724836772562,-5.1973001446955,7.21,5,324.527536627867,2.33045862259328,0.0630072263166471,2.65434868560695,2.16530455799612,0.489044127610828,4.81965324360308,2.44953080153052,0.973639978656643,-5.16687743786694,0.180248468084536,21.6583268649751,3.86701729392772e-05,1.98618736357115,2.9128742394899,2.32624892271634,0.978662836241824,11.9660508594617,0.153611234596238,2.97110019596426,2.2754066245446e-05,1.93137867331359,2.7211191721191,0,0,0,0,0,NA,NA,NA,undefined,NA,311.058507155812,2010-02-01 09:16:16,-329.724836772562,-227.474241882525,-168.398117932343,-107.006442150676,-48.8434945455787,-5.6432167198741,-5.1973001446955,0,102.250594890037,161.326718840219,222.718394621886,280.881342226983,324.081620052688,324.527536627867,0,59.0761239501821,120.467799731849,178.630747336946,221.831025162651,222.276941737830,0,61.391675781667,119.554623386764,162.754901212469,163.200817787648,0,58.1629476050973,101.363225430802,101.809142005980,0,43.2002778257046,43.6461944008832,0,0.445916575178599,0,NA,1.76946079721523,2.41002956561536,2.6384153074223,2.61615009474454,2.36574851141439,2.33045862259328,NA,6.45399139234255,4.52420484639623,3.60301850010972,2.80079989568534,2.72837919472383,NA,3.51332105053441,2.95746780997418,2.32343315638889,2.25680236758823,NA,2.53425759530387,1.92796129662547,1.85643886857086,NA,1.45825408363841,1.36863066635072,NA,0.196807194607242,NA
3,1,100,363.689337080275,,459941.528946827,3431801.71089635,459666.907252478,3432040.14927183,459670.621607128,3432036.92430924,459937.559119422,3431805.15767138,459670.621607128,3432036.92430924,459937.559119422,3431805.15767138,7,1867-01-01,2006-03-01,139.254794520548,251.588459960687,353.51295577171,132.837704399923,1,7,-358.770311351835,-5.257355580125,7.21,5,353.51295577171,2.53860527379937,0.0630072263166471,3.14921704366129,1.62347712612138,1.52573991753991,4.77269416978267,2.67297083005789,0.97431885566369,-10.6953153352688,0.194073326251184,23.3194965837366,3.62193025869902e-05,2.17408946281508,3.17185219730071,2.57397124278245,0.981704434541252,2.54569777913165,0.157145239905462,3.0394538153748,1.54739937447515e-05,2.17001654352476,2.97792594204014,0,0,0,0,0,NA,NA,NA,undefined,NA,308.589191643701,2010-02-01 09:16:16,-358.770311351835,-250.499428883537,-196.818468303106,-127.144840147319,-52.4171706457027,-10.9538447871027,-5.257355580125,0,108.270882468299,161.951843048729,231.625471204516,306.353140706133,347.816466564733,353.512955771710,0,53.6809605804307,123.354588736217,198.082258237834,239.545584096434,245.242073303412,0,69.6736281557868,144.401297657403,185.864623516003,191.561112722981,0,74.7276695016167,116.190995360217,121.887484567194,0,41.4633258586,47.1598150655777,0,5.6964892069777,0,NA,1.87364271292096,2.41936817880678,2.74393226411503,2.85339635494892,2.53900942573403,2.53860527379937,NA,5.86457665724550,4.63261908516508,3.99535943063713,3.02446083210068,3.01026892506542,NA,3.98728038207309,3.57210936258572,2.65333962700803,2.64897920605752,NA,3.25601042952013,2.20999027131209,2.22255741954468,NA,1.39962211582253,1.47880863392920,NA,2.51416996438556,NA
4,1,100,381.332802100958,,459892.952386201,3431714.34154354,459614.86231781,3431975.2641754,459618.541840359,3431971.81180217,459889.118966857,3431717.938313,459618.541840359,3431971.81180217,459889.118966857,3431717.938313,7,1867-01-01,2006-03-01,139.254794520548,259.833302972922,371.030632013191,141.616873655424,1,7,-376.287233044072,-5.2566010308804,7.21,5,371.030632013191,2.66440113096747,0.0630072263166471,3.24405381180126,1.47012815237664,1.77392565942462,4.7141819641779,2.84041131042252,0.968027853712539,-17.8068785648322,0.230854423140554,27.7390460387072,6.27816537616229e-05,2.24698112362112,3.43384149722393,2.77165921908501,0.97567168550314,-9.22207233202709,0.195730718134827,3.78576200194704,3.16205948789695e-05,2.26851739037158,3.27480104779845,0,0,0,0,0,NA,NA,NA,undefined,NA,309.299568495353,2010-02-01 09:16:16,-376.287233044072,-267.097062389412,-223.22731126685,-141.372304750183,-50.117155117114,-11.6531458724615,-5.2566010308804,0,109.190170654660,153.059921777222,234.914928293888,326.170077926958,364.63408717161,371.030632013191,0,43.8697511225619,125.724757639229,216.979907272298,255.443916516950,261.840461358531,0,81.8550065166667,173.110156149736,211.574165394388,217.970710235970,0,91.2551496330692,129.719158877722,136.115703719303,0,38.4640092446525,44.8605540862336,0,6.3965448415811,0,NA,1.88955112312492,2.28653343628232,2.78290054939045,3.03797280910839,2.66177560084074,2.66440113096747,NA,4.79271450456004,4.72163149895241,4.37652885468549,3.22519040882379,3.21400889144014,NA,4.68439595148689,4.28229122295179,3.02036023032509,3.01418106596434,NA,3.97614057730336,2.46730031216094,2.48200189126970,NA,1.29837819053900,1.40670981455973,NA,2.82314252379335,NA
5,1,100,401.31843291009,,459839.582869608,3431629.82185872,459556.64457429,3431914.43107437,459560.180432495,3431910.87433481,459836.001804193,3431633.42407247,459560.180432495,3431910.87433481,459836.001804193,3431633.42407247,7,1867-01-01,2006-03-01,139.254794520548,272.11633871963,391.223819767102,151.445619542232,1,7,-396.303187192857,-5.0793674257545,7.21,5,391.223819767102,2.80941005380877,0.0630072263166471,3.27303024320472,1.62848009055209,1.64455015265263,4.9015103337568,3.02617535219637,0.96079368370638,-23.0087413611549,0.2733833351859,32.8492424696578,0.000104821116173369,2.32342111660182,3.72892958779091,2.97723041975706,0.968071129568268,-17.8750430056311,0.241805173534098,4.67691963000424,6.25684315573977e-05,2.35565043290742,3.59881040660671,0,0,0,0,0,NA,NA,NA,undefined,NA,318.006309710138,2010-02-01 09:16:16,-396.303187192857,-282.996972019487,-246.175255628161,-154.013434074902,-46.1479612370517,-10.7081004540058,-5.0793674257545,0,113.30621517337,150.127931564696,242.289753117955,350.155225955805,385.595086738851,391.223819767102,0,36.8217163913255,128.983537944585,236.849010782435,272.288871565481,277.917604593732,0,92.1618215532592,200.027294391109,235.467155174155,241.095888202407,0,107.865472837850,143.305333620896,148.934066649147,0,35.4398607830459,41.0685938112972,0,5.6287330282513,0,NA,1.96077984725394,2.24273298494306,2.87026581052395,3.26137229442352,2.81478783743686,2.80941005380877,NA,4.02272567579581,4.84401598413143,4.77729271306304,3.43787187801033,3.41135074242374,NA,5.27423406505795,4.94815062370416,3.36144835883005,3.33396473551348,NA,4.69988033733023,2.72571374526457,2.71573833875900,NA,1.19629604973752,1.28780384373913,NA,2.48426548405287,NA
6,1,100,420.265283841559,,459779.978742879,3431549.59715255,459498.824418322,3431861.96737293,459502.222135759,3431858.19241501,459776.566564116,3431553.3881774,459502.222135759,3431858.19241501,459776.566564116,3431553.3881774,7,1867-01-01,2006-03-01,139.254794520548,285.226178502805,410.085952743494,160.516805042749,1,7,-415.186426579714,-5.1004738362196,7.21,5,410.085952743494,2.94486056408624,0.0630072263166471,3.28138639660384,1.92590780569292,1.35547859091092,5.20729420229676,3.19624972605684,0.954104153023558,-26.1733409238489,0.313505022593331,37.6701911827251,0.000155799778884424,2.39035940959767,4.00214004251601,3.159558110265,0.961854704928262,-24.0659590567537,0.28138898803777,5.44253732286374,9.7834319567751e-05,2.43622468886703,3.88289153166298,0,0,0,0,0,NA,NA,NA,undefined,NA,318.932281625544,2010-02-01 09:16:16,-415.186426579714,-295.689205479536,-263.360645725434,-166.538607831264,-39.4321055997868,-9.6404499892141,-5.1004738362196,0,119.497221100178,151.825780854280,248.64781874845,375.754320979927,405.5459765905,410.085952743494,0,32.3285597541021,129.150597648272,256.257099879750,286.048755490322,290.588731643317,0,96.822037894170,223.928540125647,253.72019573622,258.260171889215,0,127.106502231477,156.89815784205,161.438133995044,0,29.7916556105727,34.3316317635672,0,4.5399761529945,0,NA,2.06791606777759,2.26809683672951,2.94558611675,3.4998042042889,2.96042642058224,2.94486056408624,NA,3.53185402880792,4.85028996209686,5.16875781698213,3.61160177640069,3.5668848214222,NA,5.54092879137223,5.53940475404007,3.62202250640333,3.57131891417175,NA,5.53824439709791,2.98425365358772,2.94374376321083,NA,1.00563713103293,1.07655030873729,NA,2.00373796353445,NA
7,1,100,443.802599642966,,459719.831994771,3431469.7850124,459440.472643669,3431814.63150057,459443.619982406,3431810.74636586,459716.553479104,3431473.8320744,459443.619982406,3431810.74636586,459716.553479104,3431473.8320744,7,1867-01-01,2006-03-01,139.254794520548,300.655138734373,433.59420361708,171.9283550382,1,7,-438.802598361524,-5.2083947444438,7.21,5,433.59420361708,3.11367522468392,0.0630072263166471,3.24886410145246,2.4080236285061,0.840840472946359,5.65688772995856,3.40959977349751,0.946383551353598,-31.0146324724969,0.362939161817064,43.6101071053067,0.000230476355782811,2.4766349566895,4.34256459030552,3.39478570899836,0.95521948996835,-33.6503995383645,0.328715583605024,6.35791345231016,0.000146445608326162,2.5497954006927,4.23977601730403,0,0,0,0,0,NA,NA,NA,undefined,NA,321.005316094129,2010-02-01 09:16:16,-438.802598361524,-312.821855769459,-284.081388206171,-186.134547325820,-33.0792479927683,-7.5593237242443,-5.2083947444438,0,125.980742592065,154.721210155353,252.668051035704,405.723350368756,431.24327463728,433.59420361708,0,28.7404675632889,126.687308443640,279.742607776691,305.262532045215,307.613461025016,0,97.946840880351,251.002140213402,276.522064481926,278.872993461727,0,153.055299333051,178.575223601575,180.926152581376,0,25.519924268524,27.8708532483245,0,2.3509289798005,0,NA,2.18011431092848,2.31135111147645,2.99321147083938,3.77893801379493,3.14801294459325,3.11367522468392,NA,3.13985952128118,4.75778038706950,5.642465287273,3.85419157343746,3.77585799280773,NA,5.60529898421576,6.20913461049758,3.94753416520272,3.85636077338626,NA,6.66887719428957,3.39655844786738,3.29909805126653,NA,0.861442001110817,0.873957168010176,NA,1.03759259688898,NA
8,1,100,465.589472645514,,459657.333567289,3431391.77619756,459378.241855113,3431764.44411037,459381.30333731,3431760.35614885,459654.411771841,3431395.677637,459381.30333731,3431760.35614885,459654.411771841,3431395.677637,7,1867-01-01,2006-03-01,139.254794520548,312.45375598586,455.607982827506,180.084732360701,1,7,-460.482212847782,-4.8742300202757,7.21,5,455.607982827506,3.2717579627772,0.0630072263166471,3.42791806018848,2.43061005135161,0.99730800883687,5.85852811154009,3.5727301523117,0.947113513806798,-34.7151315201799,0.377560500408366,45.3669804578468,0.00022265103271768,2.60217998810819,4.5432803165152,3.59026074745046,0.954759347704987,-42.4569318694713,0.349509076284687,6.76009464913286,0.000150262283412514,2.69181906456302,4.4887024303379,0,0,0,0,0,NA,NA,NA,undefined,NA,322.783156361896,2010-02-01 09:16:16,-460.482212847782,-326.857369371108,-302.129343467778,-206.495108698545,-38.9411969846307,-8.8734926291938,-4.8742300202757,0,133.624843476674,158.352869380004,253.987104149236,421.541015863151,451.608720218588,455.607982827506,0,24.7280259033297,120.362260672562,287.916172386477,317.983876741914,321.983139350832,0,95.6342347692324,263.188146483147,293.255850838584,297.255113447502,0,167.553911713915,197.621616069352,201.62087867827,0,30.0677043554369,34.066966964355,0,3.9992626089181,0,NA,2.31239654224284,2.36560378683343,3.00883752602873,3.92626494819971,3.29667772404121,3.2717579627772,NA,2.70150537405428,4.52024129493623,5.80732774762732,4.01480905637686,3.95224125178416,NA,5.47295322840543,6.51058444366986,4.18641996073542,4.11055565100732,NA,7.3006061568078,3.75882698620705,3.67645604823742,NA,1.01495533984412,1.06825111185477,NA,1.76509171977643,NA
9,1,100,484.60586383476,,459589.390979301,3431318.47784418,459318.142785479,3431720.05879568,459320.935448351,3431715.92427888,459586.523836982,3431322.72262725,459320.935448351,3431715.92427888,459586.523836982,3431322.72262725,7,1867-01-01,2006-03-01,139.254794520548,319.30163008036,474.494184396417,186.554500543279,1,7,-479.61655576007,-5.1223713636535,7.21,5,474.494184396417,3.40738131157418,0.0630072263166471,3.39530672702502,2.43530698822067,0.959999738804354,5.8306137152457,3.7113715689696,0.95238556438769,-40.5854415598017,0.371118285158621,44.5928956342905,0.000170905894330559,2.75738164626836,4.66536149167085,3.77653238172278,0.957341686530716,-53.937853039163,0.356513981389601,6.89558132095492,0.000129604982385344,2.86008401701229,4.69298074643327,0,0,0,0,0,NA,NA,NA,undefined,NA,324.218885930239,2010-02-01 09:16:16,-479.616555760070,-343.040229152402,-319.962390975940,-228.394968707844,-57.7085736466411,-7.6610202317838,-5.1223713636535,0,136.576326607669,159.65416478413,251.221587052227,421.907982113429,471.955535528287,474.494184396417,0,23.0778381764614,114.645260444558,285.331655505761,335.379208920618,337.917857788748,0,91.5674222680966,262.253817329299,312.301370744157,314.840019612287,0,170.686395061203,220.73394847606,223.272597344190,0,50.0475534148573,52.5862022829876,0,2.5386488681303,0,NA,2.36347236922999,2.38504359457322,2.97607605316487,3.92968289964789,3.44520650522639,3.40738131157418,NA,2.52122446405520,4.30553761315605,5.75519751655629,4.23443949137035,4.14783488340372,NA,5.24021779991459,6.48747159099927,4.45830727165274,4.35372635569179,NA,7.43709373252227,4.19843101582918,4.07126432685365,NA,1.68938842101386,1.64896596505932,NA,1.12044357541422,NA
